date,location,location_name,population,value,season,season_week,epiyear,epiweek,weekly_rate,state_mean,state_std,zflu
2021-10-23,32,Nevada,3194176,2.0,2021/2022,2,2021,42,0.0612094934700182,50.04571428571428,80.03632918961101,-0.6002988239489472
2021-10-30,32,Nevada,3194176,1.0,2021/2022,3,2021,43,0.0306047467350091,50.04571428571428,80.03632918961101,-0.6127931500896543
2021-11-06,32,Nevada,3194176,4.0,2021/2022,4,2021,44,0.122418986940036,50.04571428571428,80.03632918961101,-0.5753101716675328
2021-11-13,32,Nevada,3194176,5.0,2021/2022,5,2021,45,0.153023733675046,50.04571428571428,80.03632918961101,-0.5628158455268257
2021-11-20,32,Nevada,3194176,20.0,2021/2022,6,2021,46,0.612094934700182,50.04571428571428,80.03632918961101,-0.3754009534162184
2021-11-27,32,Nevada,3194176,10.0,2021/2022,7,2021,47,0.306047467350091,50.04571428571428,80.03632918961101,-0.50034421482329
2021-12-04,32,Nevada,3194176,7.0,2021/2022,8,2021,48,0.214233227145064,50.04571428571428,80.03632918961101,-0.5378271932454114
2021-12-11,32,Nevada,3194176,8.0,2021/2022,9,2021,49,0.244837973880073,50.04571428571428,80.03632918961101,-0.5253328671047043
2021-12-18,32,Nevada,3194176,7.0,2021/2022,10,2021,50,0.214233227145064,50.04571428571428,80.03632918961101,-0.5378271932454114
2021-12-25,32,Nevada,3194176,11.0,2021/2022,11,2021,51,0.3366522140851,50.04571428571428,80.03632918961101,-0.4878498886825828
2022-01-01,32,Nevada,3194176,7.0,2021/2022,12,2021,52,0.214233227145064,50.04571428571428,80.03632918961101,-0.5378271932454114
2022-01-08,32,Nevada,3194176,18.0,2021/2022,13,2022,1,0.550885441230164,50.04571428571428,80.03632918961101,-0.4003896056976327
2022-01-15,32,Nevada,3194176,44.0,2021/2022,14,2022,2,1.3466088563404,50.04571428571428,80.03632918961101,-0.07553712603924666
2022-01-22,32,Nevada,3194176,5.0,2021/2022,15,2022,3,0.153023733675046,50.04571428571428,80.03632918961101,-0.5628158455268257
2022-01-29,32,Nevada,3194176,11.0,2021/2022,16,2022,4,0.3366522140851,50.04571428571428,80.03632918961101,-0.4878498886825828
2022-02-05,32,Nevada,3194176,4.0,2021/2022,17,2022,5,0.122418986940036,50.04571428571428,80.03632918961101,-0.5753101716675328
2022-02-12,32,Nevada,3194176,8.0,2021/2022,18,2022,6,0.244837973880073,50.04571428571428,80.03632918961101,-0.5253328671047043
2022-02-19,32,Nevada,3194176,9.0,2021/2022,19,2022,7,0.275442720615082,50.04571428571428,80.03632918961101,-0.5128385409639971
2022-02-26,32,Nevada,3194176,9.0,2021/2022,20,2022,8,0.275442720615082,50.04571428571428,80.03632918961101,-0.5128385409639971
2022-03-05,32,Nevada,3194176,24.0,2021/2022,21,2022,9,0.734513921640219,50.04571428571428,80.03632918961101,-0.32542364885338976
2022-03-12,32,Nevada,3194176,33.0,2021/2022,22,2022,10,1.0099566422553,50.04571428571428,80.03632918961101,-0.21297471358702535
2022-03-19,32,Nevada,3194176,41.0,2021/2022,23,2022,11,1.25479461613537,50.04571428571428,80.03632918961101,-0.11302010446136812
2022-03-26,32,Nevada,3194176,53.0,2021/2022,24,2022,12,1.62205157695548,50.04571428571428,80.03632918961101,0.03691180922711775
2022-04-02,32,Nevada,3194176,68.0,2021/2022,25,2022,13,2.08112277798062,50.04571428571428,80.03632918961101,0.2243267013377251
2022-04-09,32,Nevada,3194176,110.0,2021/2022,26,2022,14,3.366522140851,50.04571428571428,80.03632918961101,0.7490883992474257
2022-04-16,32,Nevada,3194176,88.0,2021/2022,27,2022,15,2.6932177126808,50.04571428571428,80.03632918961101,0.4742132241518682
2022-04-23,32,Nevada,3194176,84.0,2021/2022,28,2022,16,2.57079872574076,50.04571428571428,80.03632918961101,0.42423591958903956
2022-04-30,32,Nevada,3194176,59.0,2021/2022,29,2022,17,1.80568005736554,50.04571428571428,80.03632918961101,0.11187776607136068
2022-05-07,32,Nevada,3194176,59.0,2021/2022,30,2022,18,1.80568005736554,50.04571428571428,80.03632918961101,0.11187776607136068
2022-05-14,32,Nevada,3194176,79.0,2021/2022,31,2022,19,2.41777499206572,50.04571428571428,80.03632918961101,0.36176428888550377
2022-05-21,32,Nevada,3194176,99.0,2021/2022,32,2022,20,3.0298699267659,50.04571428571428,80.03632918961101,0.6116508116996469
2021-10-09,33,New Hampshire,1402054,0.0,2021/2022,0,2021,40,0.0,21.057803468208093,41.05324265337026,-0.5129388595684866
2021-10-16,33,New Hampshire,1402054,12.0,2021/2022,1,2021,41,0.851648507627932,21.057803468208093,41.05324265337026,-0.22063551823876434
2021-10-23,33,New Hampshire,1402054,1.0,2021/2022,2,2021,42,0.0709707089689943,21.057803468208093,41.05324265337026,-0.4885802477910097
2021-10-30,33,New Hampshire,1402054,0.0,2021/2022,3,2021,43,0.0,21.057803468208093,41.05324265337026,-0.5129388595684866
2021-11-06,33,New Hampshire,1402054,0.0,2021/2022,4,2021,44,0.0,21.057803468208093,41.05324265337026,-0.5129388595684866
2021-11-13,33,New Hampshire,1402054,1.0,2021/2022,5,2021,45,0.0709707089689943,21.057803468208093,41.05324265337026,-0.4885802477910097
2021-11-20,33,New Hampshire,1402054,0.0,2021/2022,6,2021,46,0.0,21.057803468208093,41.05324265337026,-0.5129388595684866
2021-11-27,33,New Hampshire,1402054,2.0,2021/2022,7,2021,47,0.141941417937989,21.057803468208093,41.05324265337026,-0.4642216360135329
